day_key,start_time,hour,day,week,month,year,weekdate
2018110920,2018-11-09 20:00:00,20,9,45,11,2018,4
2018110921,2018-11-09 21:00:00,21,9,45,11,2018,4
2018110922,2018-11-09 22:00:00,22,9,45,11,2018,4
2018110923,2018-11-09 23:00:00,23,9,45,11,2018,4
2018111000,2018-11-10 00:00:00,0,10,45,11,2018,5
2018111001,2018-11-10 01:00:00,1,10,45,11,2018,5
2018111002,2018-11-10 02:00:00,2,10,45,11,2018,5
2018111003,2018-11-10 03:00:00,3,10,45,11,2018,5
2018111004,2018-11-10 04:00:00,4,10,45,11,2018,5
2018111005,2018-11-10 05:00:00,5,10,45,11,2018,5
2018111006,2018-11-10 06:00:00,6,10,45,11,2018,5
2018111007,2018-11-10 07:00:00,7,10,45,11,2018,5
2018111008,2018-11-10 08:00:00,8,10,45,11,2018,5
2018111009,2018-11-10 09:00:00,9,10,45,11,2018,5
2018111010,2018-11-10 10:00:00,10,10,45,11,2018,5
2018111011,2018-11-10 11:00:00,11,10,45,11,2018,5
2018111012,2018-11-10 12:00:00,12,10,45,11,2018,5
2018111013,2018-11-10 13:00:00,13,10,45,11,2018,5
2018111014,2018-11-10 14:00:00,14,10,45,11,2018,5
2018111015,2018-11-10 15:00:00,15,10,45,11,2018,5
2018111016,2018-11-10 16:00:00,16,10,45,11,2018,5
2018111017,2018-11-10 17:00:00,17,10,45,11,2018,5
2018111018,2018-11-10 18:00:00,18,10,45,11,2018,5
2018111019,2018-11-10 19:00:00,19,10,45,11,2018,5
2018111020,2018-11-10 20:00:00,20,10,45,11,2018,5
2018111021,2018-11-10 21:00:00,21,10,45,11,2018,5
2018111022,2018-11-10 22:00:00,22,10,45,11,2018,5
2018111023,2018-11-10 23:00:00,23,10,45,11,2018,5
2018111100,2018-11-11 00:00:00,0,11,45,11,2018,6
2018111101,2018-11-11 01:00:00,1,11,45,11,2018,6
2018111102,2018-11-11 02:00:00,2,11,45,11,2018,6
2018111103,2018-11-11 03:00:00,3,11,45,11,2018,6
2018111104,2018-11-11 04:00:00,4,11,45,11,2018,6
2018111105,2018-11-11 05:00:00,5,11,45,11,2018,6
2018111106,2018-11-11 06:00:00,6,11,45,11,2018,6
2018111107,2018-11-11 07:00:00,7,11,45,11,2018,6
2018111108,2018-11-11 08:00:00,8,11,45,11,2018,6
